"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","haploid","auto.hap"
"Carollia castanea",1,"XAfusion","Carollia castanea","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1890",1890,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",13.3,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia castanea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",273,-72.62144078,5.781394489,0,5.781394489,"This work",0,0,0,0,1,0,0,0,237.9759512,2391.717455,592.132193,50.51746574,477.4949915,1032.334321,47.90660964,0.003124177,0.040284344,0.11878454,0.071828412,0,10,9
"Carollia perspicillata",1,"XAfusion","Carollia perspicillata","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LINNAEUS 1758",1758,"Mammals",0,74,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",19.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia perspicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1278,-60.30370453,-6.123869585,0,6.123869585,"This work",0,0,0,0,1,0,0,0,241.7383508,1923.029278,1048.580218,57.33068319,398.5539174,1055.50126,30.25342867,0.002763884,0.071593143,0.067081378,0.076164777,0,10,9
"Carollia subrufa",1,"XAfusion","Carollia subrufa","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HAHN 1905",1905,"Mammals",0,61,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",15.84,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia subrufa","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",38,-89.73877326,14.48385441,0,14.48385441,"This work",0,0,0,0,1,0,0,0,230.7384609,1819.758025,1042.097381,80.15678883,693.118642,190.8170056,164.5839889,0.012133246,0.167077341,0.152109683,0.000272378,0,10,9
"Centurio senex",0,"XY","Centurio senex","Centurio","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1842",1842,"Mammals",0,68,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",28,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Centurio senex","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",266,-83.7267714,13.52064194,0,13.52064194,"This work",0,0,0,0.060150376,0.939849624,0,0,0,238.0921474,1705.758722,1195.765392,69.31398518,518.7413676,330.9360488,78.69666482,0.005613969,0.089566797,0.139575706,0.041030792,0,14,13
"Chiroderma improvisum",0,"XY","Chiroderma improvisum","Chiroderma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","BAKER & GENOWAYS 1976",1976,"Mammals",0,83,"",1,"Phylogenetic Multiple Imputation",35.39,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chiroderma improvisum","EN","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",2,-61.67629962,16.1610887,1,16.1610887,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,259.4543304,1582.140566,1007.071062,35.99052096,21.45817682,67.16647094,340.2656235,0.002865485,0.016070758,0.016551359,0,0.083333333,13,12
"Chiroderma villosum",1,"XAYAfusion","Chiroderma villosum","Chiroderma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1860",1860,"Mammals",0,79,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",23.81,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chiroderma villosum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",996,-64.41882908,-3.277633472,0,3.277633472,"This work",0,0,0,0,1,0,0,0,245.1490317,2116.14815,829.4016349,55.83704424,347.0149224,1315.705841,20.45276375,0.001671497,0.055073121,0.041230518,0.068711412,0,13,12
"Choeroniscus godmani",0,"XY","Choeroniscus godmani","Choeroniscus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1903",1903,"Mammals",0,58,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",7.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Choeroniscus godmani","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",314,-66.20204744,6.055283491,0,6.055283491,"This work",0,0,0,0.012738854,0.987261146,0,0,0,241.5450406,2076.580687,781.0100094,61.22492955,457.807743,903.4470245,53.85136462,0.003581095,0.05021686,0.109019107,0.072342686,0,10,9
"Dermanura azteca",1,"XAfusion","Dermanura azteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(K. ANDERSEN, 1906)",1906,"Mammals",0,75,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",20.38,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura azteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",98,-100.7603757,19.75387238,0,19.75387238,"This work",0,0,0,0.142857143,0.857142857,0,0,0,209.782047,1368.435801,1673.955424,87.61242527,1086.93248,251.1869689,138.8521003,0.012271538,0.106271415,0.137715427,0.022160459,0,15,14
"Dermanura cinerea",1,"XAYAfusion","Dermanura cinerea","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GERVAIS, 1856",1856,"Mammals",0,54,"",1,"Phylogenetic Multiple Imputation",12.63,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura cinerea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",428,-48.09631579,-6.482103208,0,6.482103208,"This work",0,0,0,0,1,0,0,0,251.0686052,1574.675715,1053.43524,69.87588132,353.8160792,655.7634356,32.6038723,0.003582471,0.069948377,0.075263822,0.079584561,0,15,14
"Dermanura phaeotis",1,"XAYAfusion","Dermanura phaeotis","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,57.25,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",11.6,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura phaeotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",424,-74.85482483,7.393507734,0,7.393507734,"This work",0,0,0,0.016509434,0.983490566,0,0,0,238.9016873,2262.788608,772.9777497,55.30249614,454.4617864,1319.972079,46.16474606,0.003051581,0.048530694,0.094342181,0.053102781,0,15,14
