"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Dologale dybowskii",0,"1","XY","Dologale dybowskii","Dologale","Herpestidae","Carnivora","Carnivora","Mammalia","POUSARGUES 1893",1893,"Mammals",1,296,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",350,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dologale dybowskii","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",61,28.69748044,3.909700699,0,3.909700699,"This work",1,0,0,0,0,0,0,0,235.7977392,1437.6092,1117.542535,55.36861432,802.2936985,582.6783432,59.9611778,0.002019436,0.116233067,0.112994601,0.018043507,NA
"Helogale hirtula",0,"0","XY","Helogale hirtula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","THOMAS 1904",1904,"Mammals",0,270,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",354,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale hirtula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",102,42.4403738,3.539505026,0,3.539505026,"This work",1,0,0,0,0,0,0,0,266.4878169,396.3081673,1053.849148,107.1576078,410.1062098,637.4068226,16.4082297,0.000293166,0.018658396,0.018885728,0.339288452,NA
"Helogale parvula",0,"0","XY","Helogale parvula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","SUNDEVALL 1847",1847,"Mammals",0,227,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",341,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale parvula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",686,32.32822625,-7.219326212,0,7.219326212,"This work",1,0,0,0,0,0,0,0,225.0303194,864.718155,1884.135371,94.12427426,937.6492039,536.3956184,48.65387941,0.00160426,0.08054949,0.124775274,0.158017919,"0"
"Urva brachyura",1,"0","YAfusion","Urva brachyura","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1837",1837,"Mammals",0,445,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1853.52,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes brachyurus","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",161,114.2051735,0.860927765,0,0.860927765,"This work",0,0,1,0,0,0,0,0,252.4393284,2913.421836,339.3764902,25.73697237,243.5833461,1173.642167,76.21436426,0.003690118,0.200769252,0.030303791,2.60182e-07,"0"
"Urva edwardsii",1,"0","YAfusion","Urva edwardsii","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,480,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1300,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes edwardsii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",446,73.86179638,24.00722179,0,24.00722179,"This work",0.002242152,0,0.719730942,0,0,0,0.278026906,0,249.2939416,846.8634198,5211.870751,113.0763944,476.1493317,210.2724727,377.9024509,0.00579236,0.359730436,0.014547596,0.023943101,"0"
"Herpestes flavescens",0,"1","XY","Herpestes flavescens","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","BOCAGE, 1889",1889,"Mammals",0,355,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",750,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes flavescens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",36,14.07766355,-17.67663953,0,17.67663953,"This work",1,0,0,0,0,0,0,0,221.0633679,365.6392815,2317.710069,117.8381678,958.2258927,601.3186236,7.98426364,0.000416851,0.029370739,0.035815045,0.406300949,NA
"Urva fusca",1,"0","YAfusion","Urva fusca","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","WATERHOUSE, 1838",1838,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",2700,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes fuscus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",22,80.21228281,7.661929603,0,7.661929603,"This work",0,0,1,0,0,0,0,0,261.7047493,1956.963503,1075.282973,76.24614502,278.5944585,181.8896699,684.973454,0.006190878,0.203221257,0.022371026,5.44537e-05,"0"
"Herpestes ichneumon",1,"0","YAfusion","Herpestes ichneumon","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","LINNAEUS 1758",1758,"Mammals",0,608,"HBL",0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",4000,0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",0,1,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes ichneumon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1459,21.70836079,2.239355946,0,2.239355946,"This work",0.813570939,0,0,0,0,0,0.186429061,0,236.095686,967.6026963,2443.562095,94.44543176,677.6624574,454.3569126,76.27071271,0.002646092,0.1299361,0.130992,0.097859815,"0.380952381"
"Urva javanica",1,"0","YAfusion","Urva javanica","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,420,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1800,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,8,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes javanicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",654,75.90313369,27.41817375,0,27.41817375,"This work",0.006116208,0,0.810397554,0,0,0,0.183486239,0,227.7502993,1292.351557,4648.88351,96.2591939,610.2906357,295.6055337,307.4002484,0.006406334,0.274107881,0.033355162,0.03195761,"0"
"Xenogale naso",0,"1","XY","Xenogale naso","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","DE WINTON, 1901",1901,"Mammals",0,609,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4500,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes naso","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",270,19.73596951,-0.761241885,0,0.761241885,"This work",1,0,0,0,0,0,0,0,233.7939555,1733.797209,669.6365463,48.80247408,537.9895143,656.6049364,29.26636259,0.001164418,0.035444212,0.052936377,0.023178565,NA
